payoff,model,monthly,axis,h,contracts,mean_MC_delta,delta_MAE,delta_RMSE,resolved_rows,direction_agreement
legacy,xgb,False,coupon_regular,0.0025,64,17.403039594603307,10.82807711404981,12.60615331537445,320,0.88125
legacy,xgb,False,coupon_regular,0.005,64,34.80607918920674,19.03208185854443,22.479816827150046,320,0.934375
legacy,xgb,False,coupon_regular,0.01,64,69.61215837841357,41.19812158601055,46.748185636895684,320,0.953125
legacy,xgb,False,first_strike,-0.05,64,52.1542614286805,42.841118438229316,58.4599284123306,305,0.8360655737704918
legacy,xgb,False,first_strike,-0.025,64,23.793368043574826,20.85087840835316,29.02114977678079,280,0.8464285714285714
legacy,xgb,False,first_strike,-0.01,64,8.910124813097609,9.240282751641834,12.708200621844407,275,0.6981818181818182
legacy,xgb,False,first_strike,-0.005,64,4.404548459233889,4.96827869798084,6.70261300168773,260,0.6884615384615385
legacy,xgb,False,first_strike,0.005,64,-4.217786553293496,5.271876254426004,7.395222933951441,250,0.0
legacy,xgb,False,first_strike,0.01,64,-8.208873180871384,12.581504666272783,19.783238644867986,260,0.3423076923076923
legacy,xgb,False,first_strike,0.025,64,-19.083966193598933,22.400118379013456,30.368847435441932,280,0.6892857142857143
legacy,xgb,False,first_strike,0.05,64,-33.03256531183979,36.96352868106054,48.572799986270105,285,0.6807017543859649
legacy,xgb,False,ki_barrier,-0.05,32,163.56664843443062,102.24113034897542,140.40265194306696,160,0.96875
legacy,xgb,False,ki_barrier,-0.025,32,82.79579381153849,47.12666752057306,67.18076094724128,160,0.9375
legacy,xgb,False,ki_barrier,-0.01,32,33.211118455696784,19.747583193373195,27.02106141530838,160,0.81875
legacy,xgb,False,ki_barrier,-0.005,32,16.551832793532004,15.93089382931576,21.33885463374571,160,0.81875
legacy,xgb,False,ki_barrier,0.005,32,-16.508354244850707,16.13790202583666,19.18020818603469,160,0.03125
legacy,xgb,False,ki_barrier,0.01,32,-32.94324540855909,32.179743436599026,38.187488996552204,160,0.05625
legacy,xgb,False,ki_barrier,0.025,32,-81.10604033891187,43.6311874070881,54.86319788133691,160,0.9375
legacy,xgb,False,ki_barrier,0.05,32,-156.86562535425,78.41366582986548,99.98921344761115,160,0.95
legacy,xgb,False,last_strike,-0.05,64,38.193334168422176,33.78243812567267,44.9156076387563,295,0.8101694915254237
legacy,xgb,False,last_strike,-0.025,64,18.12897345667515,14.802195139395213,19.949902192960845,270,0.7222222222222222
legacy,xgb,False,last_strike,-0.01,64,6.99939657664657,7.173541685194354,12.0660470496484,230,0.7
legacy,xgb,False,last_strike,-0.005,64,3.4330275135181436,7.429016723344345,13.936176414952413,160,0.85625
legacy,xgb,False,last_strike,0.005,64,-3.359949978114811,3.359949978114811,5.558151368234948,160,0.0
legacy,xgb,False,last_strike,0.01,64,-6.708253060457151,7.777487603105138,11.802310275123634,225,0.022222222222222223
legacy,xgb,False,last_strike,0.025,64,-16.145281797847367,21.53580602625588,32.263466589555314,260,0.7153846153846154
legacy,xgb,False,last_strike,0.05,64,-29.55108097201374,35.80214276846489,54.655894709822,270,0.7666666666666667
legacy,xgb,True,coupon_regular,-0.01,33,-99.31185905504967,68.91341363132797,76.65958830608675,165,0.9090909090909091
legacy,xgb,True,coupon_regular,-0.005,33,-49.65592952752487,38.115682310007394,42.84173252985495,165,0.8787878787878788
legacy,xgb,True,coupon_regular,-0.0025,33,-24.827964763762342,20.60083062063491,23.801398196258706,165,0.8424242424242424
legacy,xgb,True,coupon_regular,-0.001,33,-9.93118590550494,7.994843605589714,9.087324717337221,165,0.7575757575757576
legacy,xgb,True,coupon_regular,0.001,33,9.931185905505114,6.641198116351806,7.849991052360086,165,0.8727272727272727
legacy,xgb,True,coupon_regular,0.0025,33,24.827964763762544,15.74728044183536,17.78957199682719,165,0.9090909090909091
legacy,xgb,True,coupon_regular,0.005,33,49.65592952752506,32.63374642320421,35.4301658066898,165,0.9454545454545454
legacy,xgb,True,coupon_regular,0.01,33,99.3118590550499,67.15775774108319,73.45305547696071,165,0.9212121212121213
legacy,xgb,True,first_strike,-0.05,33,29.74368001640128,40.637683512028566,52.070472494703324,165,0.8303030303030303
legacy,xgb,True,first_strike,-0.025,33,11.33685415412883,21.915694037944377,28.086373728933474,155,0.8064516129032258
legacy,xgb,True,first_strike,-0.01,33,3.8432598635618818,6.075840123688352,7.714328630601942,150,0.7333333333333333
legacy,xgb,True,first_strike,-0.005,33,1.7668073910318864,3.9082432244468404,5.725940472563517,150,0.7333333333333333
legacy,xgb,True,first_strike,0.005,33,-1.452857977968435,3.6103468968044528,4.595060309803433,135,0.0
legacy,xgb,True,first_strike,0.01,33,-2.64283683702295,6.3708525977207335,8.916247934990562,150,0.3
legacy,xgb,True,first_strike,0.025,33,-5.4510249509266355,12.995406153306595,18.194008238229657,155,0.535483870967742
legacy,xgb,True,first_strike,0.05,33,-6.773477489675271,23.803736079905363,31.65526002643911,160,0.53125
legacy,xgb,True,ki_barrier,-0.05,1,157.57702964280546,32.348147806867956,33.59346975372965,5,1.0
